,scores_train,scores_test
0,0.6793995859213251,0.5362318840579711
1,0.6701863354037267,0.5608695652173913
2,0.6838509316770186,0.5768115942028985
3,0.6833333333333333,0.5710144927536231
4,0.6834368530020704,0.5608695652173913
5,0.6859213250517598,0.5623188405797102
6,0.6793995859213251,0.5579710144927537
7,0.6859213250517598,0.572463768115942
8,0.6756728778467909,0.5579710144927537
9,0.6797101449275362,0.5884057971014492
10,0.6650103519668737,0.5521739130434783
11,0.6777432712215321,0.5623188405797102
12,0.6710144927536232,0.5550724637681159
13,0.6808488612836439,0.5608695652173913
14,0.6795031055900621,0.5434782608695652
